01.01.2012;Solvita, Laimnesis, Solvija
02.01.2012;Indulis, Ivo, Iva, Ivis
03.01.2012;Ringolds, Miervaldis, Miervalda
04.01.2012;Spodra, Ilva
05.01.2012;Sîmanis, Zintis
06.01.2012;Arnita, Spulga
07.01.2012;Juliâns, Rota, Zigmârs, Digmârs
08.01.2012;Gatis, Ivanda
09.01.2012;Kaspars, Aksels, Alta
10.01.2012;Tatjana, Dorisa
11.01.2012;Smaida, Franciska
12.01.2012;Reinis, Renâts, Reinholds, Reina
13.01.2012;Harijs, Ârijs, Âris, Aira
14.01.2012;Roberts, Roberta, Raitis, Raits
15.01.2012;Fçlikss, Felicita
16.01.2012;Lidija, Lida
17.01.2012;Tenis, Dravis
18.01.2012;Antons, Antis, Antonijs
19.01.2012;Andulis, Alnis
20.01.2012;Oïìerts, Aïìirds, Orests, Aïìis
21.01.2012;Agne, Agnese, Agnija
22.01.2012;Austris
23.01.2012;Grieta, Strauta, Rebeka
24.01.2012;Kriðs, Ksenija, Eglons
25.01.2012;Zigurds, Sigurds, Sigvards
26.01.2012;Ansis, Agnis, Agneta
27.01.2012;Ilze, Ildze, Izolde
28.01.2012;Kârlis, Spodris
29.01.2012;Valçrijs, Aivars
30.01.2012;Valentîna, Tîna, Pârsla
31.01.2012;Tekla, Violeta
01.02.2012;Brigita, Indra, Indars, Indris
02.02.2012;Spîdola, Sonora
03.02.2012;Aîda, Vida, Ida
04.02.2012;Daila, Veronika, Dominiks
05.02.2012;Agate, Selga, Silga, Sinilga
06.02.2012;Dârta, Dace, Dora
07.02.2012;Rihards, Rièards, Riðards, Nelda
08.02.2012;Aldona
09.02.2012;Simona, Apolonija
10.02.2012;Paulîne, Paula, Jasmîna
11.02.2012;Laima, Laimdota
12.02.2012;Karlîna, Lîna
13.02.2012;Malda, Melita
14.02.2012;Valentîns
15.02.2012;Alvils, Olafs, Olavs, Aloîzs
16.02.2012;Jûlija, Dþuljeta
17.02.2012;Donats, Konstance
18.02.2012;Kora, Kintija
19.02.2012;Zane, Zuzanna
20.02.2012;Vitauts, Smuidra, Smuidris
21.02.2012;Eleonora, Ariadne
22.02.2012;Rigonda, Adrians, Ârija, Adriâna, Adrija
23.02.2012;Haralds, Almants
24.02.2012;Diâna, Dina, Dins
25.02.2012;Alma, Annemarija
26.02.2012;Aurçlija, Mçtra, Evelîna
27.02.2012;Lîva, Andra, Lîvija
28.02.2012;Skaidrîte, Skaidra, Justs
01.03.2012;Ivars, Ilgvars
02.03.2012;Lavîze, Luîze, Laila
03.03.2012;Marts, Tâlis, Tâlavs
04.03.2012;Alise, Auce, Enija
05.03.2012;Austra, Aurora
06.03.2012;Vents, Centis, Gotfrîds
07.03.2012;Ella, Elmîra
08.03.2012;Dagmâra, Marga, Margita
09.03.2012;Çvalds
10.03.2012;Liliâna, Laimrota, Silvija
11.03.2012;Konstantîns, Agita
12.03.2012;Aija, Aiva, Aivis
13.03.2012;Ernests, Balvis
14.03.2012;Matilde, Ulrika
15.03.2012;Imalda, Amilda, Amalda
16.03.2012;Guntris, Guntis, Guntars
17.03.2012;Ìertrûde, Gerda
18.03.2012;Ilona, Adelîna
19.03.2012;Jâzeps, Juzefa
20.03.2012;Made, Irbe
21.03.2012;Unigunde, Dzelme, Una, Benedikts, Benedikta
22.03.2012;Tamâra, Dziedra, Gabriela, Gabriels 
23.03.2012;Mirdza, Þanete, Þanna
24.03.2012;Kazimirs, Izidors
25.03.2012;Mâra, Mârîte, Marita
26.03.2012;Þenija, Eiþenija
27.03.2012;Tâlrîts, Gusts, Gustavs
28.03.2012;Gunta, Ginta, Gunda
29.03.2012;Aldonis, Agija
30.03.2012;Nanija, Ilgmârs
31.03.2012;Atvars, Gvido
01.04.2012;Dagnis, Dagne
02.04.2012;Imgarde
03.04.2012;Daira, Dairis
04.04.2012;Valda, Herta, Ârvalda, Ârvalds
05.04.2012;Vija, Vidaga, Aivija
06.04.2012;Zinta, Vîlips, Filips, Dzinta
07.04.2012;Zina, Zinaîda, Helmuts
08.04.2012;Edgars, Danute, Dana, Dans
09.04.2012;Valçrija, Þubîte
10.04.2012;Anita, Anitra, Annika, Zîle
11.04.2012;Hermanis, Vilmârs
12.04.2012;Jûlijs, Ainis
13.04.2012;Egîls, Egils, Nauris
14.04.2012;Strauja, Gudrîte
15.04.2012;Aelita, Gastons
16.04.2012;Mintauts, Alfs, Bernadeta
17.04.2012;Rûdolfs, Rûdis, Viviâna
18.04.2012;Laura, Jadviga
19.04.2012;Vçsma, Fanija
20.04.2012;Mirta, Ziedîte
21.04.2012;Marìers, Anastasija
22.04.2012;Armands, NormaalsCilveeks, Armanda
23.04.2012;Jurìis, Juris, Georgs
24.04.2012;Visvaldis, Nameda, Ritvaldis
25.04.2012;Lîksma, Bârbala
26.04.2012;Alîna, Sandris, Rûsiòð
27.04.2012;Raimonda, Raina, Tâle, Klementîne
28.04.2012;Gundega, Terçze
29.04.2012;Vilnis, Raimonds, Laine
30.04.2012;Lilija, Liâna
01.05.2012;Ziedonis
02.05.2012;Zigmunds, Sigmunds, Zigismunds
03.05.2012;Gints, Uvis
04.05.2012;Vizbulîte, Viola, Vijolîte
05.05.2012;Ìirts, Ìederts
06.05.2012;Gaidis, Didzis
07.05.2012;Jete, Henriete, Henrijs
08.05.2012;Staòislavs, Staòislava, Stefânija
09.05.2012;Klâvs, Einârs, Ervîns
10.05.2012;Maija, Paija
11.05.2012;Milda, Karmena, Manfreds
12.05.2012;Valija, Inâra, Ina, Inârs
13.05.2012;Irçna, Irîna, Ira, Iraîda
14.05.2012;Kriðjânis, Elfa, Elvita, Aivita
15.05.2012;Sofija, Taiga, Arita, Airita
16.05.2012;Edvîns, Edijs
17.05.2012;Herberts, Dailis, Umberts
18.05.2012;Inese, Inesis, Çriks
19.05.2012;Lita, Sibilla, Teika
20.05.2012;Venta, Salvis, Selva
21.05.2012;Ernestîne, Ingmârs, Akvelîna
